"Open","High","Low","Close","Volume","Adjusted","dates","ticker"
12.327143,12.368571,11.7,11.971429,309579900,8.044793,"2007-01-03","AAPL"
12.007143,12.278571,11.974286,12.237143,211815100,8.223352,"2007-01-04","AAPL"
12.252857,12.314285,12.057143,12.15,208685400,8.164792,"2007-01-05","AAPL"
12.28,12.361428,12.182858,12.21,199276700,8.205114,"2007-01-08","AAPL"
12.35,13.282857,12.164286,13.224286,837324600,8.886713,"2007-01-09","AAPL"
13.535714,13.971429,13.35,13.857142,738220000,9.31199,"2007-01-10","AAPL"
13.705714,13.825714,13.585714,13.685715,360063200,9.196792,"2007-01-11","AAPL"
13.512857,13.58,13.318571,13.517143,328172600,9.083512,"2007-01-12","AAPL"
13.668571,13.892858,13.635715,13.871428,311019100,9.321591,"2007-01-16","AAPL"
13.937143,13.942857,13.545714,13.564285,411565000,9.115191,"2007-01-17","AAPL"
13.157143,13.158571,12.721429,12.724286,591151400,8.550713,"2007-01-18","AAPL"
12.661428,12.807143,12.588572,12.642858,341118400,8.495993,"2007-01-19","AAPL"
12.734285,12.737143,12.235714,12.398571,363506500,8.331832,"2007-01-22","AAPL"
12.247143,12.501429,12.215714,12.242857,301856100,8.227192,"2007-01-23","AAPL"
12.382857,12.45,12.297143,12.385715,231953400,8.323194,"2007-01-24","AAPL"
12.444285,12.642858,12.29,12.321428,226493400,8.279993,"2007-01-25","AAPL"
12.444285,12.481428,12.141429,12.197143,246718500,8.196473,"2007-01-26","AAPL"
12.328571,12.378572,12.218572,12.277143,225416100,8.250232,"2007-01-29","AAPL"
12.347143,12.355714,12.178572,12.221429,144492600,8.212793,"2007-01-30","AAPL"
12.122857,12.285714,12.05,12.247143,214017300,8.230075,"2007-01-31","AAPL"
12.318571,12.324286,12.105714,12.105714,166085500,8.135032,"2007-02-01","AAPL"
12.017143,12.178572,11.957143,12.107142,155382500,8.135992,"2007-02-02","AAPL"
12.042857,12.175714,11.991428,11.991428,144713100,8.058233,"2007-02-05","AAPL"
12.064285,12.067142,11.837143,12.021428,216098400,8.078392,"2007-02-06","AAPL"
12.068571,12.34,11.935715,12.307143,266706300,8.270394,"2007-02-07","AAPL"
12.204286,12.358571,12.201428,12.311429,169757700,8.273271,"2007-02-08","AAPL"
12.268572,12.314285,11.887143,11.895715,215135200,7.993913,"2007-02-09","AAPL"
12.061429,12.168571,11.947143,12.125714,181017900,8.148472,"2007-02-12","AAPL"
12.165714,12.184286,12.042857,12.1,145246500,8.131194,"2007-02-13","AAPL"
12.09,12.234285,12.081429,12.185715,126995400,8.188793,"2007-02-14","AAPL"
12.205714,12.231428,12.111428,12.172857,90915300,8.180152,"2007-02-15","AAPL"
12.178572,12.201428,12.094286,12.118571,99967000,8.143673,"2007-02-16","AAPL"
12.092857,12.308572,12.022857,12.271428,154425600,8.24639,"2007-02-20","AAPL"
12.282857,12.784286,12.28,12.742857,288828400,8.563192,"2007-02-21","AAPL"
12.971429,12.972857,12.647142,12.787143,209556200,8.592951,"2007-02-22","AAPL"
12.737143,12.905714,12.692857,12.724286,129473400,8.550713,"2007-02-23","AAPL"
12.834286,12.857142,12.515715,12.644286,153962200,8.496952,"2007-02-26","AAPL"
12.328571,12.44,11.915714,11.99,286453300,8.057272,"2007-02-27","AAPL"
11.857142,12.228572,11.857142,12.087143,229868800,8.122551,"2007-02-28","AAPL"
12.004286,12.615714,11.964286,12.437143,353882200,8.357753,"2007-03-01","AAPL"
12.395715,12.505714,12.172857,12.201428,215000100,8.199352,"2007-03-02","AAPL"
