"Ticker","Exchange","financialCurrency","currentPrice","sharesOutstanding","sec_id"
"000040.KS","KSC","KRW",575,119756000,"sec_1"
"0001.HK","HKG","HKD",89.55,3857679872,"sec_2"
"000120.KS","KSC","KRW",143500,22812300,"sec_3"
"000270.KS","KSC","KRW",32100,400168992,"sec_4"
"0003.HK","HKG","HKD",15.8,15386399744,"sec_5"
"0004.HK","HKG","HKD",22.65,3047130112,"sec_6"
"0005.HK","HKG","USD",70.1,20269500416,"sec_7"
"000545.KS","KSC","KRW",5950,64242600,"sec_8"
"0006.HK","HKG","HKD",56.85,2134259968,"sec_9"
"000660.KS","KSC","KRW",74500,706001984,"sec_10"
"000720.KS","KSC","KRW",60300,111356000,"sec_11"
"000725.KS","KSC","KRW",246000,111356000,"sec_12"
"0008.HK","HKG","HKD",4.4,7707160064,"sec_13"
"000890.KS","KSC","KRW",799,96570496,"sec_14"
"000950.KS","KSC","KRW",21850,1139470,"sec_15"
"000970.KS","KSC","KRW",10300,21511000,"sec_16"
"000990.KS","KSC","KRW",16250,43178200,"sec_17"
"001020.KS","KSC","KRW",1220,54045100,"sec_18"
"001065.KS","KSC","KRW",27100,19482200,"sec_19"
"001067.KS","KSC","KRW",46550,19482200,"sec_20"
"0011.HK","HKG","HKD",207.2,1911840000,"sec_21"
"0012.HK","HKG","HKD",40.95,4401260032,"sec_22"
"001230.KS","KSC","KRW",7870,94087200,"sec_23"
"001440.KS","KSC","KRW",1220,856396992,"sec_24"
"001465.KS","KSC","KRW",136500,624607,"sec_25"
"001520.KS","KSC","KRW",1945,211195008,"sec_26"
"001525.KS","KSC","KRW",9750,205412992,"sec_27"
"001550.KS","KSC","KRW",34500,5191830,"sec_28"
"0016.HK","HKG","HKD",118.1,2897149952,"sec_29"
"001620.KS","KSC","KRW",1060,53312100,"sec_30"
"001680.KS","KSC","KRW",27400,34648000,"sec_31"
"0017.HK","HKG","HKD",10.52,10205299712,"sec_32"
"001740.KS","KSC","KRW",4575,240566000,"sec_33"
"001790.KS","KSC","KRW",22850,8840000,"sec_34"
"001800.KS","KSC","KRW",19900,60161900,"sec_35"
"001880.KS","KSC","KRW",14200,15179800,"sec_36"
"0019.HK","HKG","HKD",90.75,905206016,"sec_37"
"0020.HK","HKG","HKD",51.2,2047350016,"sec_38"
"002000.KS","KSC","KRW",53900,10079700,"sec_39"
"0021.HK","HKG","HKD",0.188,3312699904,"sec_40"
"002250.KS","KSC","KRW",27150,11857900,"sec_41"
"0023.HK","HKG","HKD",28.5,2807650048,"sec_42"
"002350.KS","KSC","KRW",10300,96163400,"sec_43"
"002460.KS","KSC","KRW",14200,11410200,"sec_44"
"0027.HK","HKG","HKD",53.5,4319830016,"sec_45"
"002790.KS","KSC","KRW",96100,76908400,"sec_46"
"0028.HK","HKG","HKD",4.19,1506770048,"sec_47"
"003075.KS","KSC","KRW",14750,16417600,"sec_48"
"0033.HK","HKG","HKD",0.064,9327169536,"sec_49"
"003470.KS","KSC","KRW",3265,192680000,"sec_50"
"0035.HK","HKG","HKD",4,2293289984,"sec_51"
"003545.KS","KSC","KRW",8970,21400000,"sec_52"
"003550.KS","KSC","KRW",71300,172463008,"sec_53"
"003620.KS","KSC","KRW",4750,137928000,"sec_54"
"0039.HK","HKG","HKD",0.23,5409260032,"sec_55"
"004020.KS","KSC","KRW",53300,130772000,"sec_56"
"004140.KS","KSC","KRW",1930,33288600,"sec_57"
"004310.KS","KSC","KRW",5050,27583300,"sec_58"
"004360.KS","KSC","KRW",12300,19308500,"sec_59"
"004490.KS","KSC","KRW",32500,13743200,"sec_60"
"0045.HK","HKG","HKD",10.3,1607459968,"sec_61"
"004540.KS","KSC","KRW",3865,37239200,"sec_62"
"004545.KS","KSC","KRW",21400,37239200,"sec_63"
"0047.HK","HKG","HKD",0.15,9810939904,"sec_64"
"004800.KS","KSC","KRW",41550,11946300,"sec_65"
"004960.KS","KSC","KRW",19000,11570700,"sec_66"
"004990.KS","KSC","KRW",48100,102647000,"sec_67"
"005010.KS","KSC","KRW",13950,7534850,"sec_68"
"005320.KS","KSC","KRW",3270,13524400,"sec_69"
"005380.KS","KSC","KRW",126500,200446000,"sec_70"
"005385.KS","KSC","KRW",80900,207054000,"sec_71"
"005389.KS","KSC","KRW",76000,207054000,"sec_72"
"005450.KS","KSC","KRW",4705,6953000,"sec_73"
"005490.KS","KSC","KRW",313000,79999696,"sec_74"
"0055.HK","HKG","HKD",0.44,253639008,"sec_75"
"005610.KS","KSC","KRW",117500,8371660,"sec_76"
"005720.KS","KSC","KRW",6050,53544000,"sec_77"
"005745.KS","KSC","KRW",13000,9451090,"sec_78"
"005800.KS","KSC","KRW",139500,9e+05,"sec_79"
"005850.KS","KSC","KRW",20600,33865100,"sec_80"
"005930.KS","KSC","KRW",44100,5969780224,"sec_81"
"005935.KS","KSC","KRW",35850,822886976,"sec_82"
"005940.KS","KSC","KRW",12050,280427008,"sec_83"
"006380.KS","KSC","KRW",6180,4e+07,"sec_84"
"006400.KS","KSC","KRW",213500,66257300,"sec_85"
"0065.HK","HKG","HKD",0.48,1503480064,"sec_86"
"006840.KS","KSC","KRW",71700,13047100,"sec_87"
"007070.KS","KSC","KRW",35300,7.7e+07,"sec_88"
"0071.HK","HKG","HKD",14.54,690960000,"sec_89"
"007160.KS","KSC","KRW",60300,4945000,"sec_90"
"0072.HK","HKG","CNY",0.5,432656000,"sec_91"
"007575.KS","KSC","KRW",22750,18163200,"sec_92"
"0081.HK","HKG","HKD",2.5,3423360000,"sec_93"
"008250.KS","KSC","KRW",13350,9368520,"sec_94"
"0083.HK","HKG","HKD",12.72,6603060224,"sec_95"
"0086.HK","HKG","HKD",4.44,2153060096,"sec_96"
"008770.KS","KSC","KRW",102000,37113100,"sec_97"
"009150.KS","KSC","KRW",137500,72693696,"sec_98"
"009160.KS","KSC","KRW",2670,65429500,"sec_99"
"009200.KS","KSC","KRW",3520,41609300,"sec_100"
"009290.KS","KSC","KRW",7330,39974100,"sec_101"
"009410.KS","KSC","KRW",13550,62940000,"sec_102"
"009540.KS","KSC","KRW",103000,69107504,"sec_103"
"0096.HK","HKG","CNY",1.75,485760000,"sec_104"
"0098.HK","HKG","CNY",5.21,4.18e+08,"sec_105"
"0101.HK","HKG","HKD",15.56,4497719808,"sec_106"
"010120.KS","KSC","KRW",69900,29325000,"sec_107"
"010130.KS","KSC","KRW",379000,17674200,"sec_108"
"010140.KS","KSC","KRW",6620,604035968,"sec_109"
"0104.HK","HKG","HKD",0.47,783433024,"sec_110"
"010420.KS","KSC","KRW",1265,20493000,"sec_111"
"0105.HK","HKG","HKD",23.7,3.6e+08,"sec_112"
"010600.KS","KSC","KRW",8210,23164800,"sec_113"
"011000.KS","KSC","KRW",5780,20999900,"sec_114"
"011070.KS","KSC","KRW",142500,23664500,"sec_115"
"011160.KS","KSC","KRW",2085,70058896,"sec_116"
"0117.HK","HKG","CNY",1.24,744750016,"sec_117"
"011790.KS","KSC","KRW",44650,37245700,"sec_118"
"0120.HK","HKG","HKD",1.18,4413720064,"sec_119"
"0121.HK","HKG","CNY",0.115,11019100160,"sec_120"
"0123.HK","HKG","CNY",1.39,12401300480,"sec_121"
"012330.KS","KSC","KRW",232000,95303904,"sec_122"
"012750.KS","KSC","KRW",85500,33796200,"sec_123"
"012800.KS","KSC","KRW",1090,79129600,"sec_124"
"0130.HK","HKG","HKD",0.95,287929984,"sec_125"
"0131.HK","HKG","HKD",4.6,569710976,"sec_126"
"0137.HK","HKG","HKD",0.9,530288992,"sec_127"
"013A.F","FRA","CNY",28.07,1423280000,"sec_128"
"0143.HK","HKG","HKD",0.194,7748960256,"sec_129"
"0144.HK","HKG","HKD",15.28,3324630016,"sec_130"
"0148.HK","HKG","HKD",25.95,1066449984,"sec_131"
"014820.KS","KSC","KRW",31600,25618500,"sec_132"
"015020.KS","KSC","KRW",821,38891000,"sec_133"
"0151.HK","HKG","CNY",6.1,12449300480,"sec_134"
"0153.HK","HKG","CNY",0.49,2330749952,"sec_135"
"015590.KS","KSC","KRW",805,124733000,"sec_136"
"0157.HK","HKG","HKD",0.83,2002099968,"sec_137"
"015760.KS","KSC","KRW",30650,641964032,"sec_138"
"016385.KS","KSC","KRW",39950,24990600,"sec_139"
"0175.HK","HKG","CNY",15.26,8978079744,"sec_140"
"017670.KS","KSC","KRW",261500,70609200,"sec_141"
"017810.KS","KSC","KRW",128500,3762120,"sec_142"
"017940.KS","KSC","KRW",64100,5781750,"sec_143"
"0180.HK","HKG","HKD",1.15,950588032,"sec_144"
"018260.KS","KSC","KRW",229000,77351104,"sec_145"
"0183.HK","HKG","HKD",0.115,5548129792,"sec_146"
"0184.HK","HKG","HKD",6.95,340200000,"sec_147"
"018880.KS","KSC","KRW",12050,533800000,"sec_148"
"019175.KS","KSC","KRW",7980,47981500,"sec_149"
"0195.HK","HKG","HKD",0.091,6830000128,"sec_150"
"0196.HK","HKG","CNY",0.5,5182980096,"sec_151"
"019680.KS","KSC","KRW",7430,83440896,"sec_152"
"0197.HK","HKG","HKD",0.405,1872700032,"sec_153"
"01T.F","FRA","JPY",13.98,607324032,"sec_154"
"020120.KS","KSC","KRW",2865,15832500,"sec_155"
"0202.HK","HKG","HKD",0.166,6078669824,"sec_156"
"020560.KS","KSC","KRW",4190,205235008,"sec_157"
"0208.HK","HKG","HKD",0.9,4438969856,"sec_158"
"0210.HK","HKG","HKD",0.29,1649139968,"sec_159"
"0223.HK","HKG","HKD",0.098,5575540224,"sec_160"
"023810.KS","KSC","KRW",4495,1e+07,"sec_161"
"0242.HK","HKG","HKD",2.98,3025440000,"sec_162"
"0243.HK","HKG","HKD",0.062,2256270080,"sec_163"
"0244.HK","HKG","HKD",0.2,658449984,"sec_164"
"0245.HK","HKG","HKD",0.39,28928700416,"sec_165"
"0247.HK","HKG","HKD",25.5,1814070016,"sec_166"
"0248.HK","HKG","HKD",0.158,1245330048,"sec_167"
"0252.HK","HKG","HKD",4.24,225420000,"sec_168"
"025540.KS","KSC","KRW",46100,10415000,"sec_169"
"0256.HK","HKG","HKD",1.7,4351889920,"sec_170"
"0257.HK","HKG","HKD",6.38,4482710016,"sec_171"
"0264.HK","HKG","HKD",1.4,347904000,"sec_172"
"0267.HK","HKG","HKD",10.96,29090299904,"sec_173"
"0268.HK","HKG","CNY",8.01,3289829888,"sec_174"
"026890.KS","KSC","KRW",3580,37160700,"sec_175"
"0269.HK","HKG","HKD",0.101,7442400256,"sec_176"
"0271.HK","HKG","HKD",3.36,1241049984,"sec_177"
"0272.HK","HKG","CNY",1.77,8045080064,"sec_178"
"0273.HK","HKG","HKD",0.158,44618301440,"sec_179"
"027390.KS","KSC","KRW",30900,5829870,"sec_180"
"027410.KS","KSC","KRW",9410,95369200,"sec_181"
"0279.HK","HKG","HKD",0.087,15681800192,"sec_182"
"0285.HK","HKG","CNY",7.86,2253199872,"sec_183"
"0288.HK","HKG","USD",6.11,14664200192,"sec_184"
"0291.HK","HKG","CNY",32.55,3.244e+09,"sec_185"
"0293.HK","HKG","HKD",11.94,3933839872,"sec_186"
"0294.HK","HKG","HKD",3.13,206748000,"sec_187"
"0295.HK","HKG","CNY",0.12,14964400128,"sec_188"
"02X.F","FRA","AUD",0.07,511219008,"sec_189"
"02Y.F","FRA","USD",2.99,49511500,"sec_190"
"0303.HK","HKG","USD",85.45,251016992,"sec_191"
"0308.HK","HKG","HKD",2.61,5454139904,"sec_192"
"0311.HK","HKG","USD",0.99,1034110016,"sec_193"
"0312.HK","HKG","CNY",0.74,2495000064,"sec_194"
"0316.HK","HKG","USD",68.8,625793024,"sec_195"
"0318.HK","HKG","HKD",0.8,192190000,"sec_196"
"0322.HK","HKG","CNY",15.28,5617780224,"sec_197"
"032640.KS","KSC","KRW",16250,436611008,"sec_198"
"0337.HK","HKG","CNY",2.65,2768209920,"sec_199"
"034020.KS","KSC","KRW",14750,117146000,"sec_200"
"034220.KS","KSC","KRW",22450,357816000,"sec_201"
"0348.HK","HKG","HKD",0.067,8521310208,"sec_202"
"0352.HK","HKG","CNY",1.04,246183008,"sec_203"
"035250.KS","KSC","KRW",29450,202739008,"sec_204"
"0353.HK","HKG","HKD",0.255,5027120128,"sec_205"
"0354.HK","HKG","CNY",5.53,2429769984,"sec_206"
"0356.HK","HKG","HKD",0.09,2279399936,"sec_207"
"0359.HK","HKG","CNY",0.26,1289789952,"sec_208"
"0363.HK","HKG","HKD",17.5,1087209984,"sec_209"
"0364.HK","HKG","HKD",0.091,1184839936,"sec_210"
"036460.KS","KSC","KRW",54700,87637200,"sec_211"
"036570.KS","KSC","KRW",371500,21250400,"sec_212"
"0375.HK","HKG","HKD",6.8,165864000,"sec_213"
"0379.HK","HKG","HKD",0.036,11919200256,"sec_214"
"0388.HK","HKG","HKD",220,1243740032,"sec_215"
"039130.KS","KSC","KRW",67100,11040000,"sec_216"
"0392.HK","HKG","HKD",34.7,1262050048,"sec_217"
"039490.KS","KSC","KRW",84500,22099700,"sec_218"
"0395.HK","HKG","CNY",0.101,4823470080,"sec_219"
"03P.SG","STU","EUR",24,10080000,"sec_220"
"0400.HK","HKG","CNY",2.85,1466940032,"sec_221"
"0402.HK","HKG","HKD",0.03,8156780032,"sec_222"
"0408.HK","HKG","HKD",2.76,563889024,"sec_223"
"041.SG","STU","EUR",1.68,29774500,"sec_224"
"0410.HK","HKG","CNY",3.21,5191520256,"sec_225"
"0413.HK","HKG","HKD",0.198,12982899712,"sec_226"
"0419.HK","HKG","HKD",0.37,13498099712,"sec_227"
"0423.HK","HKG","HKD",1.4,431600000,"sec_228"
"0425.HK","HKG","CNY",26.2,1145389952,"sec_229"
"0426.HK","HKG","HKD",0.98,400900000,"sec_230"
"042660.KS","KSC","KRW",26100,107190000,"sec_231"
"042670.KS","KSC","KRW",9850,208154000,"sec_232"
"042700.KS","KSC","KRW",9600,59778800,"sec_233"
"0428.HK","HKG","HKD",0.69,99929000,"sec_234"
"0434.HK","HKG","CNY",1.52,622742016,"sec_235"
"0444.HK","HKG","HKD",0.1,6043950080,"sec_236"
"044820.KS","KSC","KRW",27800,10004100,"sec_237"
"0449.HK","HKG","CNY",0.071,8434180096,"sec_238"
"0450.HK","HKG","HKD",1.24,893932032,"sec_239"
"0459.HK","HKG","HKD",0.29,1805280000,"sec_240"
"0465.HK","HKG","CNY",0.85,311249984,"sec_241"
"0468.HK","HKG","CNY",4.5,1337020032,"sec_242"
"0469.HK","HKG","CNY",0.37,844560000,"sec_243"
"047050.KS","KSC","KRW",18100,123375000,"sec_244"
"0474.HK","HKG","HKD",0.26,4898039808,"sec_245"
"0475.HK","HKG","HKD",1.04,330054016,"sec_246"
"047810.KS","KSC","KRW",39750,97475104,"sec_247"
"0480.HK","HKG","HKD",4.69,1350269952,"sec_248"
"0486.HK","HKG","USD",2.13,15192999936,"sec_249"
"0494.HK","HKG","USD",2.82,8469960192,"sec_250"
"04CN.F","FRA","USD",1.13,25214700,"sec_251"
"0503.HK","HKG","USD",1.16,4.15e+08,"sec_252"
"0505.HK","HKG","CNY",0.98,855558016,"sec_253"
"0509.HK","HKG","HKD",0.24,4581120000,"sec_254"
"051900.KS","KSC","KRW",1180000,14659800,"sec_255"
"051910.KS","KSC","KRW",365500,68939904,"sec_256"
"0522.HK","HKG","HKD",85.6,404424992,"sec_257"
"0524.HK","HKG","HKD",0.31,875280000,"sec_258"
"052690.KS","KSC","KRW",21150,38043500,"sec_259"
"0531.HK","HKG","USD",0.64,3118909952,"sec_260"
"0532.HK","HKG","HKD",1.13,729448000,"sec_261"
"0540.HK","HKG","HKD",0.52,6e+08,"sec_262"
"0546.HK","HKG","CNY",3.68,2546729984,"sec_263"
"0554.HK","HKG","HKD",0.217,3732640000,"sec_264"
"055550.KS","KSC","KRW",42900,474200000,"sec_265"
"0565.HK","HKG","HKD",0.295,2688809984,"sec_266"
"0572.HK","HKG","HKD",0.11,11580300288,"sec_267"
"0575.HK","HKG","USD",0.325,1837250048,"sec_268"
"0586.HK","HKG","CNY",26.65,1804749952,"sec_269"
"058860.KS","KSC","KRW",2650,34007700,"sec_270"
"0595.HK","HKG","HKD",0.39,908662976,"sec_271"
"0596.HK","HKG","HKD",2.7,1138919936,"sec_272"
"05E.F","FRA","CAD",0.031,326088992,"sec_273"
"0602.HK","HKG","CNY",0.305,1037500032,"sec_274"
"0607.HK","HKG","CNY",3.23,19729100800,"sec_275"
"0609.HK","HKG","CNY",0.83,851953984,"sec_276"
"060980.KS","KSC","KRW",43550,10602700,"sec_277"
"0619.HK","HKG","HKD",0.026,15063900160,"sec_278"
"0631.HK","HKG","CNY",2.66,3041029888,"sec_279"
"0639.HK","HKG","HKD",1.78,5301839872,"sec_280"
"0646.HK","HKG","HKD",0.091,3650360064,"sec_281"
"0647.HK","HKG","HKD",0.25,1.624e+09,"sec_282"
"0656.HK","HKG","CNY",13.04,8573230080,"sec_283"
"0660.HK","HKG","HKD",0.07,16590699520,"sec_284"
"066570.KS","KSC","KRW",72400,162884992,"sec_285"
"066575.KS","KSC","KRW",29800,17181300,"sec_286"
"0669.HK","HKG","USD",46.15,1.832e+09,"sec_287"
"0672.HK","HKG","CNY",0.36,5810390016,"sec_288"
"0682.HK","HKG","CNY",0.084,3295579904,"sec_289"
"068290.KS","KSC","KRW",9590,10301100,"sec_290"
"0688.HK","HKG","HKD",23.2,10956199936,"sec_291"
"0698.HK","HKG","HKD",1.31,6297180160,"sec_292"
"0699.HK","HKG","CNY",6.39,2147239936,"sec_293"
"069960.KS","KSC","KRW",96000,23035200,"sec_294"
"06S.F","FRA","USD",4.49,42579000,"sec_295"
"0700.HK","HKG","CNY",337,9451559936,"sec_296"
"0703.HK","HKG","HKD",0.87,694302016,"sec_297"
"0708.HK","HKG","CNY",13.46,8.64e+09,"sec_298"
"0713.HK","HKG","HKD",0.48,764316992,"sec_299"
"0716.HK","HKG","USD",0.96,2416920064,"sec_300"
"0718.HK","HKG","HKD",0.79,5250019840,"sec_301"
"0732.HK","HKG","HKD",1.17,3120430080,"sec_302"
"0745.HK","HKG","HKD",0.02,9814410240,"sec_303"
"0746.HK","HKG","HKD",5.84,8.25e+08,"sec_304"
"0756.HK","HKG","CNY",0.405,1347859968,"sec_305"
"0757.HK","HKG","CNY",0.112,3211780096,"sec_306"
"0762.HK","HKG","CNY",8.98,30598100992,"sec_307"
"0768.HK","HKG","HKD",0.074,1059779968,"sec_308"
"0775.HK","HKG","HKD",0.5,9611070464,"sec_309"
"0777.HK","HKG","CNY",13.78,530539008,"sec_310"
"079A.SG","STU","USD",29.37,111442000,"sec_311"
"0800.HK","HKG","CNY",0.35,2660379904,"sec_312"
"0808.HK","HKG","HKD",3.21,1481180032,"sec_313"
"0809.HK","HKG","HKD",0.06,6399000064,"sec_314"
"0813.HK","HKG","CNY",20.7,3315960064,"sec_315"
"081660.KS","KSC","KRW",39100,61115100,"sec_316"
"0817.HK","HKG","CNY",3.19,11549599744,"sec_317"
"0819.HK","HKG","CNY",9.46,1126550016,"sec_318"
"0825.HK","HKG","HKD",1.74,1686150016,"sec_319"
"0826.HK","HKG","CNY",1.52,2539049984,"sec_320"
"0827.HK","HKG","CNY",0.173,4298039808,"sec_321"
"0829.HK","HKG","CNY",0.425,3259279872,"sec_322"
"0830.HK","HKG","HKD",0.68,2155549952,"sec_323"
"0833.HK","HKG","HKD",1.82,946115968,"sec_324"
"0836.HK","HKG","HKD",14.36,4810440192,"sec_325"
"0837.HK","HKG","CNY",4.68,248714000,"sec_326"
"0838.HK","HKG","HKD",0.76,1610550016,"sec_327"
"0845.HK","HKG","CNY",0.385,7792650240,"sec_328"
"0848.HK","HKG","CNY",0.7,5140329984,"sec_329"
"0852.HK","HKG","HKD",0.465,2125720064,"sec_330"
"0853.HK","HKG","USD",7.69,1462109952,"sec_331"
"085310.KS","KSC","KRW",1510,47880300,"sec_332"
"0856.HK","HKG","HKD",3.8,1463600000,"sec_333"
"085620.KS","KSC","KRW",5130,175316000,"sec_334"
"0862.HK","HKG","HKD",0.385,3924189952,"sec_335"
"086280.KS","KSC","KRW",128500,37500000,"sec_336"
"0867.HK","HKG","CNY",13.18,2487249920,"sec_337"
"0868.HK","HKG","HKD",8.97,3997479936,"sec_338"
"0877.HK","HKG","HKD",4.4,773579008,"sec_339"
"0882.HK","HKG","HKD",2.98,1072769984,"sec_340"
"0883.HK","HKG","CNY",11.98,44647501824,"sec_341"
"0884.HK","HKG","CNY",4.34,7765629952,"sec_342"
"0887.HK","HKG","HKD",0.35,6779460096,"sec_343"
"088790.KS","KSC","KRW",5440,12447700,"sec_344"
"089590.KS","KSC","KRW",40600,26213800,"sec_345"
"0896.HK","HKG","HKD",1.33,1046179968,"sec_346"
"08S.F","FRA","IDR",0.026,15381799936,"sec_347"
"0900.HK","HKG","HKD",6.63,418766016,"sec_348"
"0911.HK","HKG","HKD",0.044,16943099904,"sec_349"
"0913.HK","HKG","HKD",0.044,1862320000,"sec_350"
"0919.HK","HKG","HKD",0.212,904483968,"sec_351"
"0923.HK","HKG","HKD",0.099,4823009792,"sec_352"
"0929.HK","HKG","HKD",1.04,1052249984,"sec_353"
"0936.HK","HKG","HKD",0.93,1.06e+09,"sec_354"
"0941.HK","HKG","CNY",73.3,20475500544,"sec_355"
"0951.HK","HKG","CNY",3.73,1107910016,"sec_356"
"095570.KS","KSC","KRW",5010,46822300,"sec_357"
"0966.HK","HKG","HKD",23.95,3594020096,"sec_358"
"096760.KS","KSC","KRW",7490,63118700,"sec_359"
"0969.HK","HKG","HKD",0.107,2191180032,"sec_360"
"097230.KS","KSC","KRW",2470,106023000,"sec_361"
"0975.HK","HKG","USD",0.145,10291800064,"sec_362"
"0978.HK","HKG","CNY",1.21,4905260032,"sec_363"
"097950.KS","KSC","KRW",340500,14695900,"sec_364"
"0981.HK","HKG","USD",8.51,4994120192,"sec_365"
"0984.HK","HKG","HKD",4.29,2.6e+08,"sec_366"
"0987.HK","HKG","HKD",0.211,2506160128,"sec_367"
"0992.HK","HKG","USD",4.9,12014799872,"sec_368"
"0A3.F","FRA","USD",41.28,38636500,"sec_369"
"0ACS.F","FRA","HKD",0.043,584726976,"sec_370"
"0AI.F","FRA","USD",3.92,47631500,"sec_371"
"0AK.F","FRA","USD",35.03,246460992,"sec_372"
"0AL.F","FRA","USD",0.184,28806400,"sec_373"
"0AW.F","FRA","JPY",14.98,195068000,"sec_374"
"0AY.F","FRA","USD",24.11,148603008,"sec_375"
"0B7.F","FRA","CHF",170,7984710,"sec_376"
"0BR.F","FRA","CNY",0.921,25725000,"sec_377"
"0C9A.F","FRA","CNY",7.7,139256000,"sec_378"
"0CDA.F","FRA","USD",7.15,32963700,"sec_379"
"0CI.F","FRA","CNY",0.218,38164500480,"sec_380"
"0CZ.F","FRA","CNY",0.377,7068599808,"sec_381"
"0DPS.F","FRA","AUD",6.73,1017400000,"sec_382"
"0EJ.F","FRA","JPY",7.73,5457130,"sec_383"
"0EK2.DU","DUS","EUR",13.6,3140000,"sec_384"
"0GI.F","FRA","AUD",1.75,492351008,"sec_385"
"0IB.F","FRA","USD",11.41,286961984,"sec_386"
"0K1.F","FRA","JPY",58.31,17191400,"sec_387"
"0LC.F","FRA","GBP",25.79,489625984,"sec_388"
"0MB.F","FRA","USD",1.54,102093000,"sec_389"
"0MO.F","FRA","JPY",13.04,122949000,"sec_390"
"0N2C.L","LSE","EUR",97.2,7167540,"sec_391"
"0NF.F","FRA","CAD",0.022,128014000,"sec_392"
"0OH.F","FRA","AUD",2.99,164138000,"sec_393"
"0P0.F","FRA","USD",55.84,36337500,"sec_394"
"0PB.F","FRA","USD",36.39,37890200,"sec_395"
"0QLR.L","LSE","USD",82.86,2342889984,"sec_396"
"0QP.F","FRA","CNY",0.609,6036720128,"sec_397"
"0R2V.L","LSE","USD",217.2634,4842919936,"sec_398"
"0SG.F","FRA","ZAR",0.474,2255099904,"sec_399"
"0T8A.F","FRA","CNY",7.86,57488000,"sec_400"
"0TB.F","FRA","USD",23.63,55104000,"sec_401"
"0TUA.F","FRA","CNY",6.41,124809000,"sec_402"
"0US.F","FRA","USD",2.36,435056992,"sec_403"
"0WC.F","FRA","USD",4.12,313096992,"sec_404"
"0WP.F","FRA","GBP",14.27,1266200064,"sec_405"
"0XE.F","FRA","NZD",29.65,137127008,"sec_406"
"0XHR.F","FRA","USD",20.94,106726000,"sec_407"
"0XI.F","FRA","CNY",1.38,1.069e+09,"sec_408"
"0YC.F","FRA","CNY",0.006,6208150016,"sec_409"
"0YX.F","FRA","JPY",72.32,208214000,"sec_410"
"0YYA.F","FRA","CNY",63.3,56054900,"sec_411"
"0ZE.F","FRA","CAD",0.007,232123008,"sec_412"
"0ZG.F","FRA","USD",40.53,187016000,"sec_413"
"0ZG2.F","FRA","USD",40.3,187016000,"sec_414"
"1006.HK","HKG","CNY",3.55,573560000,"sec_415"
"1009.HK","HKG","HKD",1.5,1369159936,"sec_416"
"1020.HK","HKG","CNY",0.232,3996140032,"sec_417"
"1022.HK","HKG","CNY",0.49,1539890048,"sec_418"
"102280.KS","KSC","KRW",1160,129112000,"sec_419"
"1029.HK","HKG","USD",0.13,7093389824,"sec_420"
"1030.HK","HKG","CNY",5.68,5917550080,"sec_421"
"103130.KS","KSC","KRW",3025,29700400,"sec_422"
"1039.HK","HKG","CNY",0.71,1810950016,"sec_423"
"1044.HK","HKG","CNY",65.95,1206300032,"sec_424"
"105630.KS","KSC","KRW",18100,39565000,"sec_425"
"1059.HK","HKG","HKD",0.7,197308000,"sec_426"
"1070.HK","HKG","HKD",3.49,2333619968,"sec_427"
"1080.HK","HKG","CNY",0.213,3274370048,"sec_428"
"1083.HK","HKG","HKD",7.05,2810030080,"sec_429"
"1087.HK","HKG","CNY",0.244,1.17e+09,"sec_430"
"1101.TW","TAI","TWD",42.05,5108049920,"sec_431"
"1102.TW","TAI","TWD",44.25,3361449984,"sec_432"
"1106.HK","HKG","HKD",0.3,12435900416,"sec_433"
"1109.HK","HKG","HKD",26.3,6928849920,"sec_434"
"1110.HK","HKG","CNY",0.76,622499968,"sec_435"
"1112.HK","HKG","CNY",46.05,639928000,"sec_436"
"1113.HK","HKG","HKD",55.35,3697499904,"sec_437"
"1115.HK","HKG","CNY",2.86,2508270080,"sec_438"
"1125.HK","HKG","HKD",10.16,327044000,"sec_439"
"1128.HK","HKG","USD",18.5,5192770048,"sec_440"
"1130.HK","HKG","HKD",0.23,2036540032,"sec_441"
"1142.HK","HKG","HKD",0.078,1208480000,"sec_442"
"1143.HK","HKG","HKD",0.094,5945310208,"sec_443"
"115.F","FRA","CAD",0.12,135140000,"sec_444"
"1161.HK","HKG","HKD",1.1,679452992,"sec_445"
"1165.HK","HKG","CNY",0.28,4314149888,"sec_446"
"117.F","FRA","USD",232.21,74791000,"sec_447"
"1175.HK","HKG","CNY",0.232,1646290048,"sec_448"
"118000.KS","KSC","KRW",3345,21553600,"sec_449"
"1181.HK","HKG","CNY",1.4,1068620032,"sec_450"
"1185.HK","HKG","HKD",0.221,4368999936,"sec_451"
"119650.KS","KSC","KRW",3925,1.3e+07,"sec_452"
"1198.HK","HKG","HKD",0.69,2006439936,"sec_453"
"11T.F","FRA","JPY",21.44,129436000,"sec_454"
"120115.KS","KSC","KRW",27500,25152300,"sec_455"
"1208.HK","HKG","USD",3.76,8051040256,"sec_456"
"1212.HK","HKG","HKD",15.04,1579459968,"sec_457"
"1217.TW","TAI","TWD",7.74,494512992,"sec_458"
"1219.HK","HKG","CNY",0.38,2205969920,"sec_459"
"1221.HK","HKG","HKD",3.47,1089180032,"sec_460"
"1222.HK","HKG","HKD",0.105,18505500672,"sec_461"
"1230.HK","HKG","CNY",1.49,4745560064,"sec_462"
"1232.HK","HKG","CNY",0.71,1802460032,"sec_463"
