"comp_id","Sector","Industry"
"comp_11561","Energy","Oil & Gas E&P"
"comp_12154","Consumer Defensive","Discount Stores"
"comp_1374","Financial Services","Asset Management"
"comp_3120","Technology","Communication Equipment"
"comp_12612","Consumer Cyclical","Specialty Retail"
"comp_13271","Industrials","Truck Manufacturing"
"comp_10871","Healthcare","Medical Instruments & Supplies"
"comp_2663","Industrials","Metal Fabrication"
"comp_13265","Consumer Defensive","Grocery Stores"
"comp_11905","Industrials","Tools & Accessories"
"comp_8158","Consumer Cyclical","Home Furnishings & Fixtures"
"comp_12340","Consumer Cyclical","Home Furnishings & Fixtures"
"comp_8932","Real Estate","REIT - Healthcare Facilities"
"comp_4178","Financial Services","Banks - Regional - US"
"comp_4809","Basic Materials","Industrial Metals & Minerals"
"comp_9790","Financial Services","Banks - Regional - US"
"comp_1640","Technology","Software - Application"
"comp_9528","Healthcare","Medical Instruments & Supplies"
"comp_9361","Basic Materials","Industrial Metals & Minerals"
"comp_1798","Energy","Oil & Gas Drilling"
"comp_12081","Energy","Oil & Gas Drilling"
"comp_3013","Industrials","Engineering & Construction"
"comp_11312","Basic Materials","Industrial Metals & Minerals"
"comp_11617","Basic Materials","Industrial Metals & Minerals"
"comp_11962","Consumer Cyclical","Publishing"
"comp_8405","Technology","Electronic Components"
"comp_11909","Energy","Oil & Gas E&P"
"comp_12076","Technology","Data Storage"
"comp_7117","Basic Materials","Chemicals"
"comp_7548","Basic Materials","Building Materials"
"comp_4641","Real Estate","REIT - Office"
"comp_13078","Industrials","Railroads"
"comp_13512","Technology","Software - Application"
"comp_3654","Basic Materials","Industrial Metals & Minerals"
"comp_6859","Utilities","Utilities - Regulated Electric"
"comp_2857","Industrials","Business Services"
"comp_10531","Basic Materials","Building Materials"
"comp_13049","Consumer Cyclical","Home Furnishings & Fixtures"
"comp_6739","Technology","Software - Infrastructure"
"comp_7878","Industrials","Staffing & Outsourcing Services"
"comp_773","Energy","Oil & Gas E&P"
"comp_11430","Technology","Communication Equipment"
"comp_653","Energy","Oil & Gas Midstream"
"comp_11582","Financial Services","Banks - Regional - US"
"comp_1682","Financial Services","Specialty Finance"
"comp_9169","Energy","Oil & Gas E&P"
"comp_4868","Consumer Cyclical","Residential Construction"
"comp_4041","Financial Services","Asset Management"
"comp_5351","Consumer Defensive","Beverages - Wineries & Distilleries"
"comp_4488","Consumer Cyclical","Leisure"
"comp_7461","Energy","Oil & Gas E&P"
"comp_11619","Energy","Oil & Gas Drilling"
"comp_4865","Basic Materials","Agricultural Inputs"
"comp_10920","Real Estate","Real Estate - General"
"comp_10470","Healthcare","Drug Manufacturers - Specialty & Generic"
"comp_10268","Industrials","Business Equipment"
"comp_2654","Financial Services","Specialty Finance"
"comp_11320","Consumer Cyclical","Apparel Manufacturing"
"comp_10036","Technology","Consumer Electronics"
"comp_4190","Basic Materials","Specialty Chemicals"
"comp_1848","Consumer Defensive","Farm Products"
"comp_2281","Basic Materials","Gold"
"comp_2687","Industrials","Engineering & Construction"
"comp_13009","Healthcare","Biotechnology"
"comp_3064","Financial Services","Banks - Regional - US"
"comp_1988","Technology","Software - Application"
"comp_13064","Consumer Cyclical","Rubber & Plastics"
"comp_2132","Financial Services","Asset Management"
"comp_13183","Utilities","Utilities - Regulated Gas"
"comp_6487","Financial Services","Banks - Regional - US"
"comp_6122","Financial Services","Banks - Regional - US"
"comp_12039","Basic Materials","Gold"
"comp_6407","Healthcare","Long-Term Care Facilities"
"comp_2033","Financial Services","Capital Markets"
"comp_756","Healthcare","Diagnostics & Research"
"comp_9826","Financial Services","Banks - Regional - US"
"comp_9339","Financial Services","Banks - Regional - US"
"comp_2127","Industrials","Conglomerates"
"comp_329","Financial Services","Savings & Cooperative Banks"
"comp_328","Financial Services","Insurance - Diversified"
"comp_12384","Real Estate","REIT - Industrial"
"comp_7850","Technology","Electronic Components"
"comp_3055","Financial Services","Banks - Regional - US"
"comp_9936","Consumer Defensive","Beverages - Soft Drinks"
"comp_4273","Financial Services","Banks - Regional - US"
"comp_3291","Consumer Cyclical","Packaging & Containers"
"comp_9896","Technology","Communication Equipment"
"comp_10403","Industrials","Business Services"
"comp_316","Healthcare","Drug Manufacturers - Specialty & Generic"
"comp_1552","Industrials","Waste Management"
"comp_6836","Healthcare","Diagnostics & Research"
"comp_12527","Real Estate","Real Estate - General"
"comp_5904","Financial Services","Banks - Regional - US"
"comp_11404","Basic Materials","Specialty Chemicals"
"comp_3189","Consumer Cyclical","Marketing Services"
"comp_3984","Basic Materials","Agricultural Inputs"
"comp_4792","Industrials","Security & Protection Services"
"comp_5551","Basic Materials","Industrial Metals & Minerals"
"comp_12889","Healthcare","Drug Manufacturers - Specialty & Generic"
"comp_8335","Consumer Cyclical","Specialty Retail"
"comp_10380","Technology","Software - Application"
"comp_2686","Industrials","Infrastructure Operations"
"comp_2388","Healthcare","Biotechnology"
"comp_13172","Real Estate","Real Estate Services"
"comp_8023","Consumer Defensive","Household & Personal Products"
"comp_12616","Financial Services","Banks - Regional - US"
"comp_11246","Financial Services","Banks - Regional - US"
"comp_7579","Consumer Defensive","Packaged Foods"
"comp_8486","Basic Materials","Industrial Metals & Minerals"
"comp_2015","Healthcare","Drug Manufacturers - Major"
"comp_7844","Consumer Cyclical","Restaurants"
"comp_6552","Healthcare","Biotechnology"
"comp_238","Industrials","Pollution & Treatment Controls"
"comp_659","Technology","Communication Equipment"
"comp_11920","Basic Materials","Coal"
"comp_4165","Basic Materials","Copper"
"comp_2461","Financial Services","Capital Markets"
"comp_7756","Energy","Oil & Gas E&P"
"comp_11393","Financial Services","Banks - Regional - US"
"comp_4068","Healthcare","Drug Manufacturers - Specialty & Generic"
"comp_7996","Consumer Defensive","Grocery Stores"
"comp_3679","Energy","Oil & Gas E&P"
"comp_12028","Industrials","Staffing & Outsourcing Services"
"comp_4846","Financial Services","Banks - Regional - US"
"comp_3214","Industrials","Conglomerates"
"comp_5841","Industrials","Integrated Shipping & Logistics"
"comp_6434","Energy","Oil & Gas E&P"
"comp_2605","Healthcare","Biotechnology"
"comp_11532","Basic Materials","Industrial Metals & Minerals"
"comp_6981","Financial Services","Savings & Cooperative Banks"
"comp_1215","Basic Materials","Industrial Metals & Minerals"
"comp_13569","Technology","Software - Application"
"comp_10179","Healthcare","Medical Devices"
"comp_10615","Healthcare","Medical Instruments & Supplies"
"comp_6117","Financial Services","Banks - Regional - US"
"comp_8523","Financial Services","Banks - Regional - US"
"comp_12558","Industrials","Conglomerates"
"comp_5487","Industrials","Diversified Industrials"
"comp_8892","Financial Services","Banks - Regional - US"
"comp_8989","Financial Services","Banks - Regional - US"
"comp_3587","Healthcare","Drug Manufacturers - Major"
"comp_2043","Healthcare","Medical Devices"
"comp_11299","Industrials","Engineering & Construction"
"comp_7236","Consumer Cyclical","Packaging & Containers"
"comp_12529","Consumer Cyclical","Apparel Manufacturing"
"comp_7495","Healthcare","Medical Instruments & Supplies"
"comp_13018","Healthcare","Biotechnology"
"comp_6805","Industrials","Metal Fabrication"
"comp_6354","Basic Materials","Industrial Metals & Minerals"
"comp_8566","Industrials","Diversified Industrials"
"comp_7130","Industrials","Industrial Distribution"
