"sec_id","comp_id"
"sec_2328","comp_511"
"sec_14216","comp_9631"
"sec_18351","comp_12241"
"sec_18355","comp_12241"
"sec_18264","comp_12241"
"sec_18700","comp_12241"
"sec_17237","comp_11580"
"sec_6803","comp_4605"
"sec_6413","comp_4325"
"sec_8509","comp_5798"
"sec_18364","comp_12305"
"sec_14012","comp_9516"
"sec_14471","comp_9804"
"sec_19716","comp_13152"
"sec_19714","comp_13152"
"sec_19269","comp_12900"
"sec_5650","comp_3838"
"sec_6777","comp_4587"
"sec_19963","comp_13283"
"sec_19974","comp_13283"
"sec_15645","comp_10559"
"sec_10369","comp_7052"
"sec_16635","comp_11175"
"sec_1973","comp_1569"
"sec_6734","comp_4560"
"sec_17119","comp_11502"
"sec_17120","comp_11502"
"sec_14363","comp_9725"
"sec_14362","comp_9725"
"sec_14368","comp_9725"
"sec_12379","comp_8416"
"sec_10636","comp_7234"
"sec_18685","comp_12507"
"sec_7619","comp_5192"
"sec_18536","comp_12308"
"sec_18370","comp_12308"
"sec_18369","comp_12308"
"sec_11399","comp_7754"
"sec_11398","comp_7754"
"sec_469","comp_397"
"sec_1833","comp_1472"
"sec_17071","comp_11471"
"sec_1026","comp_898"
"sec_18373","comp_12309"
"sec_18374","comp_12309"
"sec_20427","comp_13494"
"sec_20426","comp_13494"
"sec_7615","comp_5188"
"sec_13699","comp_9327"
"sec_13914","comp_9327"
"sec_13913","comp_9327"
"sec_20169","comp_13382"
"sec_2143","comp_1658"
"sec_2142","comp_1658"
"sec_3513","comp_1658"
"sec_16028","comp_10798"
"sec_17041","comp_11454"
"sec_10483","comp_7129"
"sec_17987","comp_12074"
"sec_20278","comp_13421"
"sec_18220","comp_12211"
"sec_18224","comp_12213"
"sec_11348","comp_7721"
"sec_18543","comp_12422"
"sec_17169","comp_11534"
"sec_20218","comp_11534"
"sec_17170","comp_11534"
"sec_20217","comp_11534"
"sec_16505","comp_11092"
"sec_1524","comp_1263"
"sec_3533","comp_1263"
"sec_14335","comp_9708"
"sec_13622","comp_9274"
"sec_13610","comp_9274"
"sec_15902","comp_9274"
"sec_13621","comp_9274"
"sec_15972","comp_9274"
"sec_15964","comp_9274"
"sec_12273","comp_8353"
"sec_11900","comp_7842"
"sec_11517","comp_7842"
"sec_13983","comp_9498"
"sec_13654","comp_9298"
"sec_6707","comp_4536"
"sec_12809","comp_4536"
"sec_17675","comp_4536"
"sec_13589","comp_9259"
"sec_13237","comp_9037"
"sec_11998","comp_8159"
"sec_11384","comp_2280"
"sec_3115","comp_2280"
"sec_16914","comp_2555"
"sec_3565","comp_2555"
"sec_410","comp_353"
"sec_12707","comp_8664"
"sec_13353","comp_8664"
"sec_13354","comp_8664"
"sec_17954","comp_12052"
"sec_15524","comp_10493"
"sec_3844","comp_2713"
"sec_18412","comp_12337"
"sec_18053","comp_12114"
"sec_17226","comp_11571"
"sec_17308","comp_11571"
"sec_17227","comp_11571"
"sec_19499","comp_13031"
"sec_19500","comp_13031"
"sec_14354","comp_9721"
"sec_14355","comp_9721"
"sec_11631","comp_7933"
"sec_3183","comp_1871"
"sec_2472","comp_1871"
"sec_16885","comp_11354"
"sec_16823","comp_11310"
"sec_16826","comp_11310"
"sec_16825","comp_11310"
"sec_13902","comp_9364"
"sec_13759","comp_9364"
"sec_13920","comp_9364"
"sec_628","comp_540"
"sec_11408","comp_7719"
